state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,scheme_type_name,tubewell_type,scheme_owner_name,location_particulars,total_owners_holding,scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_depth,scheme_diameter,scheme_bore_depth,nearest_scheme_distance,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name1,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,culturable_command_area,ref_selection_id_located_in_major_medium_scheme_name,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_scheme_functioning_name,ref_selection_under_utilisation_name,ref_reason_for_under_utilisation_name,ref_sub_scheme_type_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,ref_scheme_type_dugwell_name,ref_scheme_type_tubewell_name
KERALA,KASARGOD,KARADUKA,BEDADUKA,25,Tube well,Deep Tube well,Owned by individual farmer,Kundamkuzhi,0.26,Others,Female,Up to 2013-2014,75,150,NA,60,52500,12000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,5,NA,0.26,Yes,0,0,0.26,0,0.26,0,0,0.26,0,0.26,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,26,Tube well,Deep Tube well,Owned by individual farmer,Vattamthatta,0.364,Others,Male,Up to 2013-2014,75,150,NA,65,152500,12000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Under ground pipe,Submersible pump,Electric,5,0,0,85,0,NA,NA,6,NA,0.36,Yes,0,0,0.36,0,0.36,0,0,0.36,0,0.36,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,29,Tube well,Deep Tube well,Owned by individual farmer,Vattamthatta,1.923,Others,Male,Up to 2013-2014,73,150,NA,65,52000,13000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,5,NA,1.92,Yes,0,0,1.92,0,1.92,0,0,1.92,0,1.92,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,30,Tube well,Deep Tube well,Owned by individual farmer,Vattamthatta,0.73,Others,Male,Up to 2013-2014,72,150,NA,60,50100,12000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,85,0,NA,NA,5,NA,0.73,Yes,0,0,0.73,0,0.73,0,0,0.73,0,0.73,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,32,Tube well,Deep Tube well,Owned by individual farmer,Munda,0.81,Others,Male,During 2014-2015,120,150,NA,60,60000,12400,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,85,0,NA,NA,8,NA,0.8,Yes,0,0,0.8,0,0.8,0,0,0.8,0,0.8,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,36,Tube well,Deep Tube well,Owned by individual farmer,Munnadu,0.478,OBC,Female,Up to 2013-2014,72,150,NA,65,50400,12300,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,6,NA,0.47,Yes,0,0,0.47,0,0.47,0,0,0.47,0,0.47,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,38,Tube well,Deep Tube well,Owned by individual farmer,Munnadu,0.976,Others,Male,Up to 2013-2014,90,150,NA,75,67500,20000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,5,NA,0.93,Yes,0,0,0.93,0,0.93,0,0,0.93,0,0.93,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,55,Tube well,Deep Tube well,Owned by individual farmer,Bedadukka,0.8,Others,Male,Up to 2013-2014,85,150,NA,65,59500,1200,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,5,NA,0.8,Yes,0,0,0.8,0,0.8,0,0,0.8,0,0.8,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,58,Tube well,Deep Tube well,Owned by individual farmer,Bedadukka,1.52,Others,Male,Up to 2013-2014,72,150,NA,70,54000,13000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,6,NA,1.53,Yes,0,0,1.53,0,1.53,0,0,1.53,0,1.53,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,60,Tube well,Deep Tube well,Owned by individual farmer,Near BBedadukka Club,0.542,Others,Male,Up to 2013-2014,78,150,NA,65,54600,12000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,92,0,NA,NA,5,NA,0.5,Yes,0,0,0.5,0,0.5,0,0,0.5,0,0.5,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,68,Tube well,Deep Tube well,Owned by individual farmer,Kollaramkodu,3.25,Others,Male,Up to 2013-2014,120,150,NA,75,80000,19000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,5,NA,1.1,Yes,0,0,1.1,0,1.1,0,0,1.1,0,1.1,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,71,Tube well,Deep Tube well,Owned by individual farmer,Keekkanam,1.826,Others,Male,Up to 2013-2014,80,150,NA,65,42000,12000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,5,NA,0.89,Yes,0,0,0.89,0,0.89,0,0,0.89,0,0.89,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,73,Tube well,Deep Tube well,Owned by individual farmer,Kundamkuzhi,1.012,Others,Male,Up to 2013-2014,80,150,NA,67,61000,12800,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,90,0,NA,NA,6,NA,1.01,Yes,0,0,1.01,0,1.01,0,0,1.01,0,1.01,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KOTTAYAM,PALA MUNI,PALA MUNI,13,Tube well,Deep Tube well,Owned by individual farmer,NEAR CARMEL HOSPITAL,0.202,Others,Female,Up to 2013-2014,120,150,NA,10,30000,8000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,90,0,0,NA,1,NA,NA,0.16,Yes,0,0.16,0,0,0.16,0,0.16,0,0,0.16,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,MALAPPURAM,ARICODE,KUZHIMANNA,4,Tube well,Deep Tube well,Owned by individual farmer,KUZHIMANNA,4.047,Others,Male,Up to 2013-2014,72.82,0.5,NA,75,50000,10000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler, Centrifugal Pump,Electric,5,0,0,210,0,NA,NA,2,NA,3.64,Yes,0,0,3.64,0,3.64,0,0,3.64,0,3.64,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,MALAPPURAM,ARICODE,KUZHIMANNA,6,Tube well,Deep Tube well,Owned by individual farmer,KUZHIMANNA,2.024,Others,Male,Up to 2013-2014,75,0.5,NA,100,60000,8000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler, Centrifugal Pump,Electric,5,120,120,210,0,2,2,1,NA,2.63,Yes,0.81,0.81,1.01,0,2.63,0.81,0.81,1.01,0,2.63,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,MALAPPURAM,THIRURANGADI,THENHIPPALAM,62,Tube well,Deep Tube well,Owned by individual farmer,THENHIPPALAM,0.618,OBC,Male,During 2014-2015,75,150,NA,65,100000,30000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,32,0,NA,NA,3,NA,1.86,Yes,0,0.62,0.62,0.62,1.86,0,0,0.62,0,0.62,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,PALAKKAD,CHITTUR,ELAPPULLY,18,Tube well,Deep Tube well,Owned by individual farmer,ELAPPULLY,0.305,OBC,Male,During 2017-2018,145,150,NA,100,140000,20000,3000,Own savings,NA,0,0,In-Use,NA,NA,NA,Drip,Submersible pump,Electric,5,0,40,50,0,NA,4,4,NA,0.6,Yes,0,0.3,0.3,0,0.6,0,0.3,0.3,0,0.6,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,PALAKKAD,KUZHALMANNAM,THENKURUSSI,29,Tube well,Deep Tube well,Owned by individual farmer,THENKURISSI  II,0.17,OBC,Female,Up to 2013-2014,100,100,NA,235,15750,10000,4500,Bank loan,Others,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,5,40,80,70,90,2,3,3,3,0.32,No,0.15,0.15,0.02,0,0.32,0.15,0.15,0.02,0,0.32,NA,No,NA,NA,MALAMPUZHA,Water available but not adequate for irrigation,No,NA,Deep Tube well
KERALA,PALAKKAD,KUZHALMANNAM,THENKURUSSI,8,Tube well,Deep Tube well,Owned by individual farmer,THENKURISSI  II,0.7,Others,Male,During 2014-2015,80,100,NA,200,21500,0,0,Bank loan,Others,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,5,30,100,70,0,2,3,3,NA,1.5,No,0.7,0.7,0.1,0,1.5,0.7,0.7,0.1,0,1.5,NA,No,NA,NA,MALAMPUZHA,Water available but not adequate for irrigation,No,NA,Deep Tube well
KERALA,PALAKKAD,KUZHALMANNAM,THENKURUSSI,9,Tube well,Deep Tube well,Owned by individual farmer,THENKURISSI  II,2.04,Others,Male,Up to 2013-2014,80,150,NA,300,65000,0,0,Bank loan,Others,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,5,60,110,80,80,2,3,2,2,4.35,No,2,2,0.2,0.15,4.35,2,2,0.2,0.15,4.35,NA,No,NA,NA,MALAMPUZHA,Water available but not adequate for irrigation,No,NA,Deep Tube well
KERALA,PALAKKAD,KUZHALMANNAM,THENKURUSSI,16,Tube well,Deep Tube well,Owned by individual farmer,THENKURISSI  II,0.89,Others,Male,Up to 2013-2014,80,150,NA,200,25700,0,0,Bank loan,Others,0,0,In-Use,NA,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,5,44,95,80,0,3,3,3,NA,1.9,No,0.85,0.85,0.2,0,1.9,0.85,0.85,0.2,0,1.9,NA,No,NA,NA,MALAMPUZHA,Water available but not adequate for irrigation,No,NA,Deep Tube well
KERALA,PALAKKAD,KUZHALMANNAM,THENKURUSSI,19,Tube well,Deep Tube well,Owned by individual farmer,THENKURISSI  II,0.82,OBC,Male,During 2014-2015,80,150,NA,150,35000,0,0,Bank loan,Others,0,0,In-Use,NA,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,5,50,100,70,0,2,3,2,NA,1.55,No,0.75,0.75,0.05,0,1.55,0.75,0.75,0.05,0,1.55,NA,No,NA,NA,MALAMPUZHA,Water available but not adequate for irrigation,No,NA,Deep Tube well
KERALA,PALAKKAD,KUZHALMANNAM,THENKURUSSI,47,Tube well,Deep Tube well,Owned by individual farmer,THENKURISSI  I,0.164,Others,Female,Up to 2013-2014,96,100,NA,200,21750,0,0,Bank loan,Others,0,0,In-Use,NA,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,5,35,80,80,0,2,3,3,NA,0.37,No,0.16,0.16,0.05,0,0.37,0.16,0.16,0.05,0,0.37,NA,No,NA,NA,MALAMPUZHA,Water available but not adequate for irrigation,No,NA,Deep Tube well
KERALA,PALAKKAD,KUZHALMANNAM,THENKURUSSI,58,Tube well,Deep Tube well,Owned by individual farmer,THENKURISSI I,1.3,OBC,Male,During 2015-2016,90,150,NA,250,25700,0,0,Own savings,Others,0,0,In-Use,NA,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,5,45,90,90,0,3,6,5,NA,2,No,0.95,0.95,0.1,0,2,0.95,0.95,0.1,0,2,NA,No,NA,NA,MALAMPUZHA,Water available but not adequate for irrigation,No,NA,Deep Tube well
KERALA,THIRUVANANTHAPURAM,ATHIYANNOOR,KOTTUKAL,1,Tube well,Deep Tube well,Owned by individual farmer,PUNNAKKULAM,0.044,Others,Male,Up to 2013-2014,100,175,NA,40,100000,30000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Other,Submersible pump,Electric,5,30,90,90,0,1,2,2,NA,0.44,Yes,0.15,0.15,0.14,0,0.44,0.15,0.15,0.14,0,0.44,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KOZHIKODE,KUNNAMANGALAM,PERUVAYAL,9,Tube well,Deep Tube well,Owned by individual farmer,G L P SCHOOL,0.425,Others,Female,During 2017-2018,80,150,NA,20,50000,23000,0,Own savings,Government fund,30000,11000,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Electric,5,0,0,80,0,NA,NA,2,NA,0.4,Yes,0,0,0.4,0,0.4,0,0,0.4,0,0.4,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KOZHIKODE,KUNNAMANGALAM,PERUVAYAL,11,Tube well,Deep Tube well,Owned by individual farmer,CHERUKULATHOOR,0.405,Others,Female,During 2016-2017,90,150,NA,6,40000,30000,0,Government fund,Own savings,30000,11000,In-Use,NA,NA,NA,Surface pipe, Centrifugal Pump,Electric,5,0,0,90,0,NA,NA,2,NA,0.37,Yes,0,0,0.37,0,0.37,0,0,0.37,0,0.37,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,IDUKKI,DEVIKULAM,SANTHANPARA,2,Tube well,Deep Tube well,Owned by individual farmer,PINAKKADAN ,0.607,Others,Male,Up to 2013-2014,75,150,NA,50,30000,15000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,120,0,NA,NA,4,NA,0.56,Yes,0,0,0.56,0,0.56,0,0,0.56,0,0.56,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,IDUKKI,DEVIKULAM,SANTHANPARA,3,Tube well,Deep Tube well,Owned by individual farmer,PINAKKADAN ,0.971,Others,Male,Up to 2013-2014,90,15,NA,50,50000,20000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,150,0,NA,NA,2,NA,0.8,Yes,0,0,0.8,0,0.8,0,0,0.8,0,0.8,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,IDUKKI,DEVIKULAM,SANTHANPARA,38,Tube well,Deep Tube well,Others,POOPARA ,NA,NA,NA,Up to 2013-2014,120,15,NA,100,60000,40000,0,NA,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,100,0,NA,NA,4,NA,1.21,Yes,0,0,1.21,0,1.21,0,0,1.21,0,1.21,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KASARGOD,KARADUKA,BEDADUKA,27,Tube well,Deep Tube well,Owned by individual farmer,Vattamthatta,1.182,Others,Male,Up to 2013-2014,80,150,NA,80,45500,13000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler,Submersible pump,Electric,5,0,0,85,0,NA,NA,7,NA,1.18,Yes,0,0,1.18,0,1.18,0,0,1.18,0,1.18,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KOTTAYAM,PALA MUNI,PALA MUNI,3,Tube well,Deep Tube well,Owned by individual farmer,164/58,1,Others,Female,Up to 2013-2014,120,150,NA,30,30000,10000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,80,0,NA,NA,1,NA,0.67,Yes,0,0,0.67,0,0.67,0,0,0.67,0,0.67,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,KOTTAYAM,PALA MUNI,PALA MUNI,9,Tube well,Deep Tube well,Owned by individual farmer,PALA,0.231,Others,Female,Up to 2013-2014,130,150,NA,10,40000,6000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,0,60,0,NA,NA,1,NA,0.16,Yes,0,0,0.16,0,0.16,0,0,0.16,0,0.16,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,ERNAKULAM,ANGAMALY,MOOKKANNOOR,33,Tube well,Deep Tube well,Owned by individual farmer,MOOKKANNOOR PALLY,0.3,Others,Male,Up to 2013-2014,76,0.15,NA,15,11000,30000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,20,0,0,25,0,NA,NA,3,NA,0.25,No,0,0,0.25,0,0.25,0,0,0.25,0,0.25,NA,No,NA,NA,CHALAKUDY EDARUKARA,Water not available up to field from major/medium scheme,No,NA,Deep Tube well
KERALA,MALAPPURAM,ARICODE,KUZHIMANNA,13,Tube well,Deep Tube well,Owned by individual farmer,KUZHIMANNA,4.05,Others,Male,Up to 2013-2014,72.82,0.5,NA,75,0,0,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Sprinkler, Centrifugal Pump,Electric,5,0,0,180,0,NA,NA,2,NA,3.64,Yes,0,0,3.64,0,3.64,0,0,3.64,0,3.64,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,MALAPPURAM,THIRURANGADI,THENHIPPALAM,21,Tube well,Deep Tube well,Owned by individual farmer,KADAKKATTUPARA,0.205,Others,Male,Up to 2013-2014,80,150,NA,50,200000,160000,0,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,90,90,60,NA,1,1,1,0.63,Yes,0,0.21,0.21,0.21,0.63,0,0.21,0.21,0.21,0.63,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,PALAKKAD,CHITTUR,ELAPPULLY,5,Tube well,Deep Tube well,Owned by individual farmer,ELAPPULLY,0.607,Others,Male,Up to 2013-2014,75,100,NA,40,100000,10000,4000,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,90,0,0,NA,3,NA,NA,0.6,Yes,0,0.6,0,0,0.6,0,0.6,0,0,0.6,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,PALAKKAD,CHITTUR,ELAPPULLY,7,Tube well,Deep Tube well,Owned by individual farmer,ELAPPULLY,1.25,Others,Male,During 2017-2018,75,2,NA,120,125000,10000,3000,Own savings,NA,0,0,In-Use,NA,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,5,35,60,0,0,4,7,NA,NA,1.25,Yes,1.25,1.25,0,0,2.5,1.25,1.25,0,0,2.5,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,PALAKKAD,CHITTUR,ELAPPULLY,13,Tube well,Deep Tube well,Owned by individual farmer,"MECHERIPPADAM, ELAPPULLY",1.2,OBC,Male,During 2017-2018,80,150,NA,60,25000,10000,1000,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,30,70,0,0,4,7,NA,NA,1.2,Yes,1.2,1.2,0,0,2.4,1.2,1.2,0,0,2.4,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,PALAKKAD,CHITTUR,ELAPPULLY,19,Tube well,Deep Tube well,Owned by individual farmer,"PUDUPPADAM, ELAPPULLY",0.35,OBC,Male,During 2017-2018,140,150,NA,80,125000,20000,3000,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,0,30,60,0,NA,4,3,NA,0.7,Yes,0,0.35,0.35,0,0.7,0,0.35,0.35,0,0.7,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,PALAKKAD,CHITTUR,ELAPPULLY,49,Tube well,Deep Tube well,Owned by individual farmer,"KUTTIYAMPAK, THENALI",0.8,OBC,Male,Up to 2013-2014,80,100,NA,40,120000,10000,2000,Own savings,NA,0,0,In-Use,NA,NA,NA,Surface pipe,Submersible pump,Electric,5,40,70,0,0,2,5,NA,NA,0.8,Yes,0.8,0.8,0,0,1.6,0.8,0.8,0,0,1.6,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
KERALA,PALAKKAD,CHITTUR,ELAPPULLY,50,Tube well,Deep Tube well,Owned by individual farmer,"ARAMANAKALAM, ENNAPADAM",0.27,OBC,Male,Up to 2013-2014,80,100,NA,60,110000,20000,3000,Own savings,NA,0,0,In-Use,NA,NA,NA,Under ground pipe,Submersible pump,Electric,5,40,60,0,0,3,4,NA,NA,0.27,Yes,0.27,0.27,0,0,0.54,0.27,0.27,0,0,0.54,NA,No,NA,NA,NA,NA,No,NA,Deep Tube well
